Title,Type,Price,Bedrooms,Bathrooms,Area,Verified
Apartment for sale in El lotus 1 minute to sodic square,Apartment," 3,500,000.00 ",3,2,150,
Apartment for sale immediate delivery super lux,Apartment," 5,600,000.00 ",3,2,160,
Duplex for sale in south lotus immediate delivery,," 6,500,000.00 ",4,4,280,
"""Affordable Front-Facing 2nd Floor Apartment in Beit El Watan – Prime Location",Apartment," 2,200,000.00 ",2,2,130,
Apartment for Sale Steps from 90th Street & Mivida,Apartment," 2,300,000.00 ",2,2,170,
Apartment 163 m in View Garden at al-Narges al-Jadida in the Fifth Settlement New Cairo,Apartment," 5,100,000.00 ",3,2,163,
"Apartment 175 m in Al-Narges Al-Jadida, Fifth Settlement, New Cairo",Apartment," 5,162,000.00 ",3,2,175,
Apartment for sale in El Yasmin 220 sqm,Apartment," 7,300,000.00 ",3,3,220,
Apartment 145 m + 85 m garden view garden in al-narges al-gadida in the new Cairo Fifth Settlement Cairo,Apartment," 4,527,000.00 ",3,2,230,
للبيع استلام فوري بكمبوند المعادي، جنب ماونتن فيو المستثمرين الجنوبيه,," 4,950,000.00 ",3,3,190,
Apartment for sale fully finished with perfect layout view large garden at Al-Narges 3 Villas- New Cairo,Apartment," 7,250,000.00 ",3,3,240,
"Lowest down payment in the market! Modern finished apartment for sale in Palm Hills (CLEO), the heart of New Cairo, with a lagoon view",Apartment," 8,815,504.00 ",2,3,116,
شقة لقطة للبيع بسكن مصر أرض المعارض تجمع خامس,," 2,200,000.00 ",3,1,115,
"Apartment for sale in Sakan Misr Al-Andalus, Fifth Settlement, all floors available",Apartment," 2,250,000.00 ",3,1,115,
شقة مميزة في مشروع جنة القاهرة الجديدة,," 3,800,000.00 ",3,2,140,
"Apartment for sale in Mountain View iCity, Fifth Settlement Available for cash purchase or with a 5% down payment and installment plans | Mountain Vie",Apartment," 6,850,000.00 ",3,2,132,
Ground Floor Apartment with Private Garden for Sale in Mountain View iCity – New Cairo | Prime Location | Flexible Payment Plans: Cash or 5% Down Paym,Apartment," 7,580,000.00 ",3,2,135,
"Apartment 182 square meters for sale with super lux finishes in Rahab 2-The First District, Eastern Market courtyard شقة 182 متر للبيع بتشطيبات سوبر لوكس بحوار السوق الشرقي رحاب 2-التجمع الاول",Apartment," 10,000,000.00 ",3,3,182,
"Apartment for sale, immediate occupancy, with installments over the longest payment period, in New Cairo's Fifth Settlement, in La Vista Patio Oro com",Apartment," 11,760,000.00 ",3,2,164,Verified Business
"165 sqm apartment in Al Narges El Gadida, prime location with full services — perfect for upscale living or a smart investment in New Cairo.",Apartment," 4,971,500.00 ",3,3,165,
"A fully finished 3-bedroom apartment for sale in The Address East Compound, next to Mountain View – immediate delivery with a premium view.",Apartment," 7,500,000.00 ",3,2,145,
"Immediate delivery fully finished Super Deluxe apartment, including kitchen and air conditioners, for sale on installments in Amorada Compound, Fifth",Apartment," 12,000,000.00 ",3,3,220,Verified Business
Duplex (4 bedrooms / 3 bathrooms) for sale in installments over 10 years in a compound in front of Al Rehab,," 11,900,000.00 ",4,3,220,Verified Business
"For privacy lovers, ground floor apartment with garden for sale next to Al Sharq Market Al Rehab - New Tura? The input is Arabic: لمحبي الخصوصية شقة أرضي بحديقة للبيع بجوار السوق الشرقي الرحاب - التجمع الاول",Apartment," 7,500,000.00 ",3,2,113,
Penthouse 234 m + roof 152 m with jacuzzi for sale (immediate delivery) for sale in Galleria Moon Valley Compound in Fifth Settlement,," 13,056,000.00 ",5,4,234,Verified Business
"Apartment for sale, ready for delivery, finished, in SODIC Villette + ACs.",Apartment," 14,000,000.00 ",3,3,226,
Service Apartment Furnished in Al Marasem New Cairo 5th settlement,Apartment," 9,276,151.00 ",1,2,110,Verified Business
"Apartment snapshot 162 meters for sale furnished and with appliances in the seventh area new - Al Rehab
",Apartment," 11,000,000.00 ",3,3,162,
An apartment ready for delivery at the best price in Mountain View iCity.,Apartment," 8,000,000.00 ",3,2,160,
Ready-to-deliver apartment in Mountain View iCity at a special price.,Apartment," 7,000,000.00 ",2,2,140,
Apartment for sale in Dar Misr Al-Andalus 150m - New Cairo,Apartment," 3,400,000.00 ",3,3,150,Verified Business
Apartment for Sale in El Patio Oro – New Cairo,Apartment," 10,800,000.00 ",3,3,220,Verified Business
"Resale apartment with a garden, fully furnished, below the company price, in Fifth Settlement, just minutes from the American University.",Apartment," 14,000,000.00 ",2,2,128,
شقة للبيع,," 3,652,000.00 ",3,3,166,Verified User
شقه بالتجمع الخامس بمنتجع النخيل الجديد,," 5,500,000.00 ",3,2,120,
For Sale Duplex Ganoub Akademeya  New Cairo,," 10,800,000.00 ",3,2,450,Verified Business
For sale penthouse in jayd  Fully finished,," 8,500,000.00 ",3,2,145,Verified Business
Apartment for Sale – Fifth Settlement | Immediate Delivery,Apartment," 4,800,000.00 ",3,2,160,Verified Business
Apartment 5th floor Fully finished The square,Apartment," 8,550,000.00 ",3,3,178,Verified Business
Duplex For Sale 295 SQM Fully Finished Ready To Move In Eastown New Cairo Own Now!,," 23,300,000.00 ",5,4,295,Verified Business
"This apartment is available for sale in New Cairo, fully finished, with a share of the land, and at a very attractive and affordable price.",Apartment," 8,000,000.00 ",3,2,200,Verified Business
apartment under market price ready to move prime location open landscape view in mountain view icity new cairo,Apartment," 9,000,000.00 ",3,2,220,Verified Business
duplex fully finished and fully furnished with open greenery view ready to move in el shouyfat new cairo,," 8,000,000.00 ",3,3,219,Verified Business
"For sale 4 million and 400k, fully finished apartment, front of Tulip Hotel in the most prestigious compound in the Fifth Settlemeent Katameya Gardens",Apartment," 4,400,000.00 ",2,1,110,Verified Business
apartment ready to move with installments prime location in district 5 compound new cairo,Apartment," 9,600,000.00 ",2,3,125,Verified Business
"This apartment is available for sale in New Cairo, fully finished, with a share of the land, and at a very attractive and affordable price.",Apartment," 8,000,000.00 ",3,2,200,Verified Business
apartment under market price ready to move prime location open landscape view in mountain view icity new cairo,Apartment," 9,000,000.00 ",3,2,220,Verified Business
duplex fully finished and fully furnished with open greenery view ready to move in el shouyfat new cairo,," 8,000,000.00 ",3,3,219,Verified Business
"For sale 4 million and 400k, fully finished apartment, front of Tulip Hotel in the most prestigious compound in the Fifth Settlemeent Katameya Gardens",Apartment," 4,400,000.00 ",2,1,110,Verified Business
apartment ready to move with installments prime location in district 5 compound new cairo,Apartment," 9,600,000.00 ",2,3,125,Verified Business
Garden apartment for sale “fully finished and ready to move” in Trio Gardens Compound on the Central Ring Road near Palm Hills New Cairo Compound,Apartment," 7,800,000.00 ",2,3,135,Verified Business
Luxury Penthouse For Sale Fully Finished In Fifth Square New Cairo Al Marassem,," 12,360,000.00 ",2,2,155,Verified Business
"Apartment for sale in the First Settlement, North Youth Housing near the Third Settlement, and Fifth Settlement, New Cairo
",Apartment," 1,900,000.00 ",2,1,70,
"Instead of 655,000, contract with a down payment of only 393,000 and own a 115m² apartment with two bedrooms and a reception area – a great deal for s",Apartment," 6,550,000.00 ",2,2,118,Verified Business
Penthouse with ACS for sale in Promenade New cairo,," 12,000,000.00 ",4,4,255,
Apartment For Sale 180 SQM Fully Finished In Swan Lake Residence Hassan Allam New Cairo,Apartment," 10,000,000.00 ",2,3,180,Verified Business
Super Lux Apartment for sale in Hyde Park,Apartment," 10,000,000.00 ",2,2,130,
Ground floor apartment with garden for sale in Riseel in AI City New Cairo - North Park شقة أرضي بجاردن للبيع ريسيل في آي سيتى التجمع - النورث بارك,Apartment," 5,000,000.00 ",1,1,90,Verified Business
Buy Now !! With The Lowest Price Fully Finished Apartment For Sale Ready To Move In Village Gate New Cairo,Apartment," 8,300,000.00 ",2,2,150,Verified Business
Apartment For Sale with Installments in Amorada Afaaq - New Cairo,Apartment," 11,800,000.00 ",3,3,220,Verified Business
Delivery Now luxurious Apartment for Sale In Sodic Villette - New Cairo,Apartment," 16,500,000.00 ",3,3,190,Verified Business
Shot for sale in الرحاب apartment 211 m View Wide Garden very distinguished location,Apartment," 11,000,000.00 ",4,3,211,
