title,type,location,bedroom,bathroom,size_sqm,price
Prime Location Duplex Fully Finished With A\C ,Duplex,"Park View, North Investors Area, New Cairo City, Cairo",4,4,345,"6,850,000"
Town house resale at Mivida Emaar with best price,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,285,"10,000,000"
Lake View Residence - Apartment | Prime Location,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,210,"5,700,000"
Best Penthouse for sale in villette ( sky conds ),Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,4,230,"7,510,000"
2nd Floor | Fully Finished | Lowest Price |Parking,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6,284,"8,511,300"
Amazing Delivered Villa  Below market price at CFC,Apartment,"Tag Sultan, Ring Road, Cairo",3,2,172,"3,150,000"
Under market Price Apart. In tag sultan for sale,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",5,4,250,"3,500,000"
Apartment with installments at Lake View Residence,Townhouse,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,220,"6,100,000"
0% DP over 9 y f.finished apartment for sale ,Apartment,"Tag Sultan, Ring Road, Cairo",2,2,114,"2,278,506"
Villa Modern  Hyde Park 327M under market price,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,204,"4,112,700"
Apartment 235m for sale  in Rehab                 ,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,172,"5,500,000"
Finished | Ground + Garden | Overlooking Main Park,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,327,"7,346,875"
For sale penthouse in mountain view hyde park 165m,Villa,"IL Bosco, New Capital Compounds, New Capital City, Cairo",4,3,330,"4,200,000"
Villa for sale immediate receipt in Settlement    ,Apartment,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3,3,235,"4,500,000"
