Field1,Title,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13
"EGP 7,500,000","For sale at a very special price, a first-time living apartment with a wide northern garden.","Rehab City, New Cairo",18 minutes ago,Apartment,Resale,130,3,2,Cash,Ready,"Balcony
Security
Covered Parking
Electricity Meter
Water Meter
Natural Gas",Rehab City,New Cairo
"EGP 18,000,000",Receive immediately a 3-bedroom ultra-super-lux apartment in a prime location in Parcel10 Mivida - Fifth Settlement - with a distinctive view,"Mivida Compound, 5th Settlement",25 minutes ago,Apartment,Resale,186,3,3,Cash,Ready,Covered Parking,Mivida Compound,New Cairo
"EGP 10,000,000","Ground floor apartment with garden for sale at below market price, fully sea-facing - in Patio Oro La Vista, Fifth Settlement, immediate delivery","EL Patio ORO Compound, 5th Settlement",28 minutes ago,Apartment,Resale,165,3,2,Cash,Ready,"Private Garden
Covered Parking",EL Patio ORO Compound,New Cairo
"EGP 14,500,000",ready to move resale apartment with the old price for quick sale in Sodic Eastown compound prime location in the golden square fifth settlement,"Eastown Compound, 5th Settlement",34 minutes ago,Apartment,Resale,191,3,4,Cash,Ready,"Balcony
Private Garden
Security
Covered Parking
Pets Allowed
Pool",Eastown Compound,New Cairo
"EGP 16,500,000",cheapest resale apartment ready to move in Sodic villette compound in the golden square with the lowest price in the market for quick sale,"Villette Compound, 5th Settlement",51 minutes ago,Apartment,Resale,160,2,3,Cash,Ready,"Balcony
Private Garden
Security
Covered Parking
Pets Allowed
Pool",Villette Compound,New Cairo
"EGP 6,800,000","Apartment for sale with garden, ready to move in, 160 meters, in New Cairo, Mountain View iCity, opposite Al Rehab gate, minutes from the American Uni","Mountain View iCity Compound, 5th Settlement",3 hours ago,Apartment,Primary,160,3,3,Cash,Ready,BalconyPrivate GardenSecurityCovered ParkingMaids RoomPets AllowedPoolElectricity MeterWater MeterNatural GasLandline,Mountain View iCity Compound,New Cairo
"EGP 5,520,000","Apartment for sale in New Cairo (Fifth Settlement) with a down payment of only 850,000 EGP. Fully finished and ready for viewing in Mayan Compound, ne","Mayan, 5th Settlement",8 hours ago,Apartment,Primary,99,2,2,Cash or Installment,Ready,Private GardenPets AllowedPoolElectricity MeterWater MeterNatural GasLandline,Mayan,New Cairo
"EGP 7,800,000",Apartment for sale 2 bedrooms Fully finished lowest price in Mountain view hyde park,"Mountain View Hyde Park Compound, 5th Settlement",8 hours ago,Apartment,Resale,132,2,2,2,Cash,BalconySecurityCovered ParkingPets AllowedPoolElectricity MeterNatural GasElevator,Mountain View Hyde Park Compound,New Cairo
"EGP 6,150,000",Apartment for sale 3 bedrooms with installments facing north Mountain view i city,"Mountain View iCity Compound, 5th Settlement",8 hours ago,Apartment,Resale,145,3,3,2,Installment,BalconySecurityCovered ParkingPets AllowedPoolElectricity MeterNatural Gas,Mountain View iCity Compound,New Cairo
"EGP 6,800,000",Apartment 3/4 finishing 155M with installments prime location Mountain view i city,"Mountain View iCity Compound, 5th Settlement",8 hours ago,Apartment,Resale,155,3,3,2,Installment,BalconySecurityCovered ParkingPets AllowedPoolElectricity MeterNatural GasElevator,Mountain View iCity Compound,New Cairo
"EGP 19,000,000",Apartment 170M 3 bedrooms open view prime location Mivida,"Mivida Compound, 5th Settlement",9 hours ago,Apartment,Resale,170,3,3,2,Cash,BalconySecurityCovered ParkingPets AllowedPoolElectricity MeterNatural Gas,Mivida Compound,New Cairo
"EGP 16,000,000",Apartment 156M fully finished open view prime location Mivida,"Mivida Compound, 5th Settlement",9 hours ago,Apartment,Resale,156,2,2,2,Cash,BalconySecurityCovered ParkingPets AllowedPoolElectricity MeterNatural Gas,Mivida Compound,New Cairo
"EGP 9,200,000","For sale in Al-Rehab 2, an apartment of 162 m on the fourth floor overlooking a wide garden","Rehab City, New Cairo",9 hours ago,Apartment,Resale,162,3,3,Cash,Ready,BalconyPrivate GardenSecurityElectricity MeterWater MeterNatural GasElevator,Rehab City,New Cairo
"EGP 4,040,000","120m² apartment with garden, private entrance, and open view in the Al-Takmiliya neighborhood, south of Suez, in one of the best and most distinguishe","Beit Al Watan, 5th Settlement",9 hours ago,Apartment,Primary,120,2,2,Ground,Cash or Installment,Private GardenSecurityCovered ParkingMaids RoomPets AllowedElectricity MeterWater MeterLandlineElevator,Beit Al Watan,New Cairo
"EGP 5,500,000","Hurry, last fully finished apartment with landscape view in a prime location in New Cairo, Fifth Settlement, Hyde Park Compound hyde park","Hyde Park New Cairo Compound, 5th Settlement",9 hours ago,Apartment,Primary,117,2,2,Cash,Ready,BalconyPrivate GardenSecurityPets AllowedPoolElectricity MeterNatural GasLandline,Hyde Park New Cairo Compound,New Cairo
"EGP 5,300,000","In the most distinguished site in the Fifth Settlement, Yardin Compound by Mas Company, owner of the Valencia Valley project and Downtown New Cairo Mall. The consulting engineer is Engineer Omar Aqeel, and the most important staff at the Lake View Compound. The Emirates Commitment Company is responsible for management and operation, managing Dubai Airport and Suedek projects.","Al Andalous, 5th Settlement",9 hours ago,Apartment,Primary,120,2,1,Installment,Off-plan,"Covered Parking
Pets Allowed
Electricity Meter
Water Meter
Natural Gas
Landline",Al Andalous,New Cairo
"EGP 6,000,000", Apartment for Sale – 200 sqm | Prime Location in New Cairo,"5th Settlement, New Cairo",9 hours ago,Apartment,Resale,200,3,2,Cash,Ready,Electricity Meter,5th Settlement,New Cairo
"EGP 5,000,000","Apartment for sale in New Cairo (Fifth Settlement) with a special discount, immediate delivery, installments available, in Creek Town compound near Re","Creek Town Compound, 5th Settlement",10 hours ago,Apartment,Primary,180,3,3,Cash,Ready,BalconyPrivate GardenSecurityCovered ParkingPoolElectricity MeterWater MeterNatural Gas,Creek Town Compound,New Cairo
"EGP 5,555,000",Lowest price Ready to Move dual-facade High-End Apartment in The most distinguished plot of land in Fifth Settlementnext to Swan Lake,"5th Settlement, New Cairo",10 hours ago,Apartment,Primary,99,2,2,Cash,Ready,"Balcony
Private Garden
Security
Pool
Electricity Meter
Water Meter",5th Settlement,New Cairo
