web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,position2,data8,data9,image,image2,image3,image4,image5
"1775804793-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","Apartments for sale 140m 3BR Ready To Move fully finished in the heart of Fifth Settlement in The Address East-CE","The Address East Compound - Dorra","6,300,000 EGP","– 45,000 EGP/m²","140 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","2","10","/","3","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698de4fc20816775442611.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698de4f8e6786307229977.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698de4f92c756322106625.jpg","",""
"1775804793-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","Penthouse for sale in Galleria Moon Valley, Fifth Settlement – ​​4 rooms","Galleria Moon Valley Compound - Arabia","12,300,000 EGP","– 41,137 EGP/m²","299 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","12","/","4","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698af130387f2750680426.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698af130dfbf6009862509.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698af130374ae704499493.jpg","",""
"1775804793-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","سكني For sale in El Andalus 1","El Andalus 1","4,850,000 EGP","– 28,529 EGP/m²","170 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","2","22","/","3","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4e11ed28d0068848985.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4e12573db5038150265.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4e11f4f0e4588902282.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2602/69850ff45001f580356024.jpg"
"1775804793-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","For sale - دوبلكس 210 M² Extra super lux","Lotus South","6,500,000 EGP","– 30,952 EGP/m²","210 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4d666f31d2481268287.jpg",""
"1775804793-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","Apartment for sale 3BR 160m DP 664,000 and inst over 10Y in The Icon Compound, Fifth Settlement - CE","The Icon Gardens Compound - Style Home","4,316,000 EGP","– 26,975 EGP/m²","160 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","","/","3","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699adb9349711832570452.jpg",""
"1775804793-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","Modern 2-Bedroom Apartment in South Lotus, New Cairo","Lotus South","5,500,000 EGP","– 44,715 EGP/m²","123 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","","/","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/69a04756844e3013139628.jpg",""
"1775804793-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","شقه للبيع في كمبوند الدفاع الوطني","El Defaa El Watany Compound","4,200,000 EGP","– 32,307 EGP/m²","130 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","2","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4e2048d3e6699548393.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2602/69850ff45001f580356024.jpg"
"1775804793-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","Two-bedroom apartment for sale with a down payment of 580,000 on 90th Street, New Cairo - CSA","The Icon Gardens Compound - Style Home","3,720,000 EGP","– 33,818 EGP/m²","110 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","2","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6990871b42056037205051.jpg",""
"1775804793-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","Spacious 3-Bedroom Apartment in Northern Lotus, Fifth Settlement","The First Area - Lotus North","7,500,000 EGP","– 34,562 EGP/m²","217 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","3","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c4aa15c2c1781769208.jpg",""
"1775804793-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=2","For sale - شقة بحديقة 155 M² Extra super lux","Lotus South","6,500,000 EGP","– 41,935 EGP/m²","155 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","","/","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4dfe20649e095052809.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2602/69850ff45001f580356024.jpg"
