web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,data5,position,data6,title2,pricecurrency,title3,data7,data8,data9,data10,data11,data12,position2,data13,position3,position4,image,image2,image3
"1775805060-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","apartment for sale 130m with garden 75m new cairo 5th settlement new narges","New Narges","3,200,000 EGP","– 24,615 EGP/m²","130 m²","","3","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","2","/","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69a7ff3101cf3255410550.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775805060-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Apartment For sale in El Andalus 1","El Andalus 1","3,300,000 EGP","– 20,625 EGP/m²","160 m²","","3","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","2","/","1","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b575b22a910859738571.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805060-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","For Sale | Ground Floor Apartment with Private Garden | District 5 by Marakez - No Overprice","The Plateau - District 5 Compound","12,999,000 EGP","– 90,270 EGP/m²","144 m²","5.3M","2","","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","","Down Payment","Up to","yrs","2","/","5","","","4","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d12a2cc3608472292422.png","",""
"1775805060-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Apartment Sale in Mountain View I City Open View","Club Park - Mountain View iCity Compound","6,125,000 EGP","– 37,121 EGP/m²","165 m²","","3","10","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","3","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69af35d3e8a5b289951065.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2302/63fb3d4fbba0d256176230.jpeg"
"1775805060-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","ستوديو للبيع في مدينتي - بي 12","Madinaty - B 12","2,850,000 EGP","– 50,892 EGP/m²","56 m²","","1","8","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","1","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/694675a3b061e955510703.jpg",""
"1775805060-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","For sale - Apartment 184 M² Semi Finished in Small Investor","Small Investor","4,232,000 EGP","– 23,000 EGP/m²","184 m²","2.1M","3","2","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","Verified","Down Payment","Up to","yrs","3","/","","","","2","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d662b8dce08194660723.jpg",""
"1775805060-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","للبيع شقه 215م بالحى الرابع بيت الوطن  تعاقد  25% و الباقى على 4 سنوات","Fourth Neighborhood","6,100,000 EGP","– 28,372 EGP/m²","215 m²","1.5M","3","7","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","Verified","Down Payment","Up to","yrs","3","/","","","","4","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2511/69188402bc61d380811188.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805060-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","عيادة سوبر لوكس للبيع في أوزون ميديكال سنتر بالتجمع الخامس","Ozone Medical Center - Catalyst","5,800,000 EGP","– 98,305 EGP/m²","59 m²","","2","4","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","1","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/69a02e88be07d167169410.jpg",""
"1775805060-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","شقة للبيع نايل بوليفارد اقل من سعر الشركة","Nile Boulevard Compound - Nile Developments","5,721,600 EGP","– 44,700 EGP/m²","128 m²","","2","5","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","2","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bb705d1a10155381220.jpg",""
"1775805060-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Apartment for Sale by Owner in Hyde Park, Park Corner, New Cairo","Century City Compound - Vintage","4,000,000 EGP","– 36,363 EGP/m²","110 m²","1M","3","6","New Cairo - 5th Settlement","Call","EGP","","","Down Payment","Up to","yrs","2","/","","","","5","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699d8098560ce493599581.jpg",""
"1775805060-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","For sale - Apartment 240 M² Without Finish in Sephora Heights Compound - Modon","Sephora Heights Compound - Modon","10,000,000 EGP","– 41,666 EGP/m²","240 m²","","3","14","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","3","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c802f8acd5f710887314.jpg",""
"1775805060-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Garden Apartment for Sale by Owner in Bait El Watan, New Cairo","Seventh Neighborhood","4,796,000 EGP","– 22,000 EGP/m²","218 m²","","4","6","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","3","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/693bd526eddc1581789822.jpg",""
"1775805060-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","دوبلكس 680 M² Extra super lux in Second Sector","Second Sector","15,000,000 EGP","– 22,058 EGP/m²","680 m²","","4","6","New Cairo - 5th Settlement","Call","","","","","","","3","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69cdaed002659442145759.jpg",""
"1775805060-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","للبيع فيلا بغرب الجولف بمساحه 670م","Alaa Elsaadany St.","55,000,000 EGP","– 82,089 EGP/m²","670 m²","","10","1","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","8","/","","","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7892b005d2696638862.jpg",""
"1775805060-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Villa 461 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","Palm Hills New Cairo - PHNC","80,394,000 EGP","– 174,390 EGP/m²","461 m²","","","8","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","","/","","|","1","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg",""
"1775805060-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","روف للبيع في الأندلس 1","El Andalus 1","3,300,000 EGP","– 17,837 EGP/m²","185 m²","","3","1","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","2","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6975ecec83ed1845171480.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805060-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Apartment For sale in Talaat Mustafa Road","Talaat Mustafa Road","4,620,000 EGP","– 43,177 EGP/m²","107 m²","","3","11","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","2","/","","","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/692d5622c9440661680099.jpg",""
"1775805060-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Apartment 200 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","Palm Hills New Cairo - PHNC","26,558,000 EGP","– 132,790 EGP/m²","200 m²","","3","8","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","","/","","|","1","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg",""
"1775805060-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","For sale - Apartment 185 M² Semi Finished","Small Investor","2,900,000 EGP","– 15,675 EGP/m²","185 m²","","3","5","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","Verified","","","","2","/","","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b56721a98b1836593671.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805060-20","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=13","Apartment 200 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","Palm Hills New Cairo - PHNC","27,139,000 EGP","– 135,695 EGP/m²","200 m²","","3","8","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","","/","","|","1","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg",""
