web_scraper_order,web_scraper_start_url,name,title,data,data2,data3,data4,title2,title3,data5,data6,position,position2,data7,position3,data8,image,image2,image3,image4
"1775805085-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 198 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","39,157,000 EGP","– 197,762 EGP/m²","198 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","Discover More","/","6","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685bc9351164096764.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685ad02f4550185423.jpg",""
"1775805085-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 193 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","39,887,000 EGP","– 206,668 EGP/m²","193 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","Discover More","/","6","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685bc9351164096764.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685ad02f4550185423.jpg",""
"1775805085-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 229 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","45,668,000 EGP","– 199,423 EGP/m²","229 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","Discover More","/","6","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685bc9351164096764.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685ad02f4550185423.jpg",""
"1775805085-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 254 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","48,794,000 EGP","– 192,102 EGP/m²","254 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 190 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","37,675,000 EGP","– 198,289 EGP/m²","190 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 189 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","37,379,000 EGP","– 197,772 EGP/m²","189 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 223 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","42,761,000 EGP","– 191,753 EGP/m²","223 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 228 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","43,815,000 EGP","– 192,171 EGP/m²","228 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 168 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","33,330,000 EGP","– 198,392 EGP/m²","168 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 186 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","36,787,000 EGP","– 197,779 EGP/m²","186 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
"1775805085-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Office 179 M² For sale in Palmet New Cairo-Middle Ring Road - New Cairo","35,404,000 EGP","– 197,787 EGP/m²","179 m²","New Cairo - 5th Settlement","Palmet Mall - Palm Hills","WhatsApp","Call","","/","","6","|","1","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2403/6601685c1e229393432629.jpg"
