web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,title2,data5,title3,position,data6,data7,data8,data9,data10,position2,image,image2,image3,image4
"1775805114-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","Apartment 165 M² For sale in Park Central-Mostakbal City - New Cairo","Park Central Compound - Hassan Allam","15,000,000 EGP","– 90,909 EGP/m²","165 m²","New Cairo - 5th Settlement","WhatsApp","Discover More","WhatsApp","8","","2","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dd43ce2177435124.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07db77eaa322540344.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dc6339a886936301.jpg",""
"1775805114-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","بنتهاوس 120 M² For sale in PILOT HALAWANY St.","PILOT HALAWANY St.","3,600,000 EGP","– 30,000 EGP/m²","120 m²","New Cairo - 5th Settlement","Call","Discover More","","13","","2","/","2","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7f00aa4446572116123.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7f0242d9f4290107391.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7f023ec761624379920.jpg",""
"1775805114-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","روف For sale in Lotus South","Lotus South","7,500,000 EGP","– 25,862 EGP/m²","290 m²","New Cairo - 5th Settlement","WhatsApp","Discover More","WhatsApp","8","","4","/","3","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7f2f9ab17b511728337.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7f3067f7c8221010827.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7f2fa49582509366579.jpg",""
"1775805114-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","For sale - دوبلكس 288 M² Extra super lux in El Banafsag 12","El Banafsag 12","13,000,000 EGP","– 45,138 EGP/m²","288 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","90","5","/","3","","","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7e92fdd0c0943468890.jpg"
"1775805114-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","شقة بحديقة 170 M² For sale in Park Central-Mostakbal City - New Cairo","Park Central Compound - Hassan Allam","18,000,000 EGP","– 105,882 EGP/m²","170 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","8","3","/","","|","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dd43ce2177435124.jpg"
"1775805114-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","شقة بحديقة 185 M² For sale in Park Central-Mostakbal City - New Cairo","Park Central Compound - Hassan Allam","22,500,000 EGP","– 121,621 EGP/m²","185 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","8","3","/","","|","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dd43ce2177435124.jpg"
"1775805114-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","Apartment 176 M² For sale in Park Central-Mostakbal City - New Cairo","Park Central Compound - Hassan Allam","16,300,000 EGP","– 92,613 EGP/m²","176 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","8","3","/","","|","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dd43ce2177435124.jpg"
"1775805114-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","Apartment 198 M² For sale in Park Central-Mostakbal City - New Cairo","Park Central Compound - Hassan Allam","18,000,000 EGP","– 90,909 EGP/m²","198 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","8","3","/","","|","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dd43ce2177435124.jpg"
"1775805114-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","Apartment 130 M² For sale in Park Central-Mostakbal City - New Cairo","Park Central Compound - Hassan Allam","11,200,000 EGP","– 86,153 EGP/m²","130 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","8","2","/","","|","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/66fd07dd43ce2177435124.jpg"
"1775805114-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","فيلا منفصلة 240 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","50,700,000 EGP","– 211,250 EGP/m²","240 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","5","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","فيلا منفصلة 220 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","44,900,000 EGP","– 204,090 EGP/m²","220 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","فيلا منفصلة 195 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","38,500,000 EGP","– 197,435 EGP/m²","195 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","فيلا منفصلة 240 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","42,400,000 EGP","– 176,666 EGP/m²","240 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","5","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","فيلا منفصلة 195 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","39,600,000 EGP","– 203,076 EGP/m²","195 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","توين هاوس 188 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","35,000,000 EGP","– 186,170 EGP/m²","188 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","توين هاوس 188 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","31,000,000 EGP","– 164,893 EGP/m²","188 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","تاون هاوس 195 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","26,400,000 EGP","– 135,384 EGP/m²","195 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","تاون هاوس 200 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","31,400,000 EGP","– 157,000 EGP/m²","200 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","تاون هاوس 195 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","29,100,000 EGP","– 149,230 EGP/m²","195 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
"1775805114-20","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=17","تاون هاوس 175 M² For sale in The Valleys-Mostakbal City - New Cairo","The Valleys Compound - Hassan Allam","30,400,000 EGP","– 173,714 EGP/m²","175 m²","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","7","4","/","","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d152fa485c5861159398.jpg"
