web_scraper_order,web_scraper_start_url,name,title,data,data2,data3,data4,title2,title3,data5,data6,data7,position,data8,position2,position3,data9,position4,image,image2,image3,image4
"1775805230-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","تاون هاوس 180 M² For sale in Cityzen-Mostakbal City - New Cairo","16,360,000 EGP","– 90,888 EGP/m²","180 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","Discover More","3","/","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d482144049417814.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d51e3af021773491.jpg",""
"1775805230-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 165 M² For sale in Cityzen-Mostakbal City - New Cairo","10,382,000 EGP","– 62,921 EGP/m²","165 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","Discover More","3","/","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d482144049417814.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d51e3af021773491.jpg",""
"1775805230-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 170 M² For sale in Cityzen-Mostakbal City - New Cairo","10,246,000 EGP","– 60,270 EGP/m²","170 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","Discover More","3","/","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d482144049417814.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d51e3af021773491.jpg",""
"1775805230-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 165 M² For sale in Cityzen-Mostakbal City - New Cairo","9,315,000 EGP","– 56,454 EGP/m²","165 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","شقة بحديقة 160 M² For sale in Cityzen-Mostakbal City - New Cairo","11,787,000 EGP","– 73,668 EGP/m²","160 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","شقة بحديقة 160 M² For sale in Cityzen-Mostakbal City - New Cairo","9,708,000 EGP","– 60,675 EGP/m²","160 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 160 M² For sale in Cityzen-Mostakbal City - New Cairo","10,097,000 EGP","– 63,106 EGP/m²","160 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 160 M² For sale in Cityzen-Mostakbal City - New Cairo","9,207,000 EGP","– 57,543 EGP/m²","160 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 150 M² For sale in Cityzen-Mostakbal City - New Cairo","9,023,000 EGP","– 60,153 EGP/m²","150 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 150 M² For sale in Cityzen-Mostakbal City - New Cairo","9,596,000 EGP","– 63,973 EGP/m²","150 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 145 M² For sale in Cityzen-Mostakbal City - New Cairo","8,735,000 EGP","– 60,241 EGP/m²","145 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","شقة بحديقة 145 M² For sale in Cityzen-Mostakbal City - New Cairo","10,280,000 EGP","– 70,896 EGP/m²","145 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 145 M² For sale in Cityzen-Mostakbal City - New Cairo","9,276,000 EGP","– 63,972 EGP/m²","145 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","3","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","بنتهاوس 125 M² For sale in Cityzen-Mostakbal City - New Cairo","9,119,000 EGP","– 72,952 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","بنتهاوس 125 M² For sale in Cityzen-Mostakbal City - New Cairo","10,905,000 EGP","– 87,240 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 135 M² For sale in Cityzen-Mostakbal City - New Cairo","8,673,000 EGP","– 64,244 EGP/m²","135 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 125 M² For sale in Cityzen-Mostakbal City - New Cairo","8,098,000 EGP","– 64,784 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 125 M² For sale in Cityzen-Mostakbal City - New Cairo","7,361,000 EGP","– 58,888 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805230-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=23","Apartment 125 M² For sale in Cityzen-Mostakbal City - New Cairo","7,892,000 EGP","– 63,136 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","/","","","","8","|","1","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
