web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,position2,data7,data8,data9,image,image2,image3,image4,image5
"1775804814-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","سكني 270 M² For sale in Lotus South","Lotus South","7,000,000 EGP","– 25,925 EGP/m²","270 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","8","3","/","3","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d3e37e91888579350460.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d3e37f4973e826128901.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d3e37f71ca2670861014.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2602/69850ff45001f580356024.jpg"
"1775804814-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","سكني 200 M² For sale in Ja’far ibn Abi Talib St.","Ja’far ibn Abi Talib St.","6,500,000 EGP","– 32,500 EGP/m²","200 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","18","3","/","3","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d64235ef0de962444772.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d642220e8a5134349585.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d642479d63b090491663.jpg","",""
"1775804814-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","Apartment For sale in Mivida Parcel","Mivida Parcel","17,500,000 EGP","– 87,500 EGP/m²","200 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","12","3","/","3","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6980b00040854280218185.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6980affe79533243750039.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6980afff304a3977765319.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804814-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","3BR Apartment 185 sqm – Semi-Finished – 1st Floor – Al Ashrafeya Compound","El Ashrafia Compound - Arabia","8,900,000 EGP","– 48,108 EGP/m²","185 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","19","3","/","3","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699afe3081200946332040.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699afe30ef10f285667527.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699afe315842d854348759.jpg","",""
"1775804814-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","اي فيلا جاردن للبيع في ماونتن فيو هايد بارك، التجمع الخامس نصف تشطيب","Mountain View Hyde Park Compound","15,000,000 EGP","– 65,217 EGP/m²","230 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","8","3","/","3","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c2dcce91d5559408452.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c2dcc56263630760441.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c2dcc24948130151487.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2302/63fb3d4fbba0d256176230.jpeg"
"1775804814-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","شقق للبيع في كمبوند الاشرفية - أرابيا","El Ashrafia Compound - Arabia","4,000,000 EGP","– 38,834 EGP/m²","103 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","7","2","/","1","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696f7f201db7f438198873.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696f7f2032b8f876215246.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696f7f2035e46625550822.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804814-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","شقتك قسط حتى 10 سنين بجوار الجامعة الامريكية في Cavali Residence بالتجمع الخامس","Cavali Compound - Al Basiony","6,880,500 EGP","– 49,500 EGP/m²","139 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","7","3","/","1","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4f1c7a6207276343961.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4f1c6956c4878068030.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4f1c7d7235318551863.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
"1775804814-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","(YA) توين هاوس  For sale in Youssef El-Sebaey St.","Youssef El-Sebaey St.","26,000,000 EGP","– 94,545 EGP/m²","275 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","4","/","4","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d3a7dee70fe656779416.png","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d3a5e602230050634342.jpg","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2507/6875084b3fbff311885712.png"
"1775804814-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","for sale 3 bedrooms al marasem","Fifth Square Compound - AlMarasem","8,500,000 EGP","– 57,823 EGP/m²","147 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","12","3","/","2","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/697b8153d5613659244442.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/697b8150cb110749186940.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/697b8151883d6736755237.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804814-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=3","220 sqm Apartment – South Investors | Garden View | Super Lux Finish","El Gezira St.","5,100,000 EGP","– 23,181 EGP/m²","220 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6984a161b938a943910009.jpg",""
