web_scraper_order,web_scraper_start_url,name,title,data,data2,data3,data4,title2,title3,data5,data6,position,data7,data8,position2,position3,image,image2,image3,image4
"1775805247-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","شقة بحديقة 125 M² For sale in Cityzen-Mostakbal City - New Cairo","9,501,000 EGP","– 76,008 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","Discover More","2","8","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d482144049417814.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d51e3af021773491.jpg",""
"1775805247-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","Spacious 6+2 bedroom palace in Madinaty","72,000,000 EGP","– 163,636 EGP/m²","440 m²","New Cairo - 5th Settlement","Group 8","WhatsApp","Call","Discover More","8","11","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69af850c6ae52647876586.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69af857bb7d8c602012595.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69af8586d3e02962661850.jpg",""
"1775805247-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","عيادات 129 M² For sale in Sleek Mall-South Teseen st - New Cairo","26,634,500 EGP","– 206,468 EGP/m²","129 m²","New Cairo - 5th Settlement","Sleek Mall - Al Rabat","WhatsApp","Call","Discover More","4","3","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea739bec291394374.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea7cfb06236835048.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea8146bb055796876.jpg",""
"1775805247-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","ستوديو 62 M² For sale in Cityzen-Mostakbal City - New Cairo","4,279,000 EGP","– 69,016 EGP/m²","62 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","1","","/","|","1","8","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805247-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","عيادات 37 M² For sale in Sleek Mall-South Teseen st - New Cairo","7,215,000 EGP","– 195,000 EGP/m²","37 m²","New Cairo - 5th Settlement","Sleek Mall - Al Rabat","WhatsApp","Call","","1","","/","","","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea739bec291394374.jpg"
"1775805247-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","شقة بحديقة 110 M² For sale in Cityzen-Mostakbal City - New Cairo","7,169,000 EGP","– 65,172 EGP/m²","110 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","","/","|","1","8","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805247-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","Administrative 111 M² For sale in Sleek Mall-South Teseen st - New Cairo","25,008,900 EGP","– 225,305 EGP/m²","111 m²","New Cairo - 5th Settlement","Sleek Mall - Al Rabat","WhatsApp","Call","","","","/","","","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea739bec291394374.jpg"
"1775805247-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","ستوديو بحديقة 62 M² For sale in Cityzen-Mostakbal City - New Cairo","4,913,000 EGP","– 79,241 EGP/m²","62 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","1","","/","|","1","8","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805247-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","Administrative 141 M² For sale in Sleek Mall-South Teseen st - New Cairo","28,890,900 EGP","– 204,900 EGP/m²","141 m²","New Cairo - 5th Settlement","Sleek Mall - Al Rabat","WhatsApp","Call","","","","/","","","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea739bec291394374.jpg"
"1775805247-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","شقة بحديقة 125 M² For sale in Cityzen-Mostakbal City - New Cairo","9,374,000 EGP","– 74,992 EGP/m²","125 m²","New Cairo - 5th Settlement","Cityzen Compound - Al Qamzi","WhatsApp","Call","","2","","/","|","1","8","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6970a1d4e660d581069587.jpg"
"1775805247-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","عيادات 73 M² For sale in Sleek Mall-South Teseen st - New Cairo","14,527,000 EGP","– 199,000 EGP/m²","73 m²","New Cairo - 5th Settlement","Sleek Mall - Al Rabat","WhatsApp","Call","","3","","/","","","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea739bec291394374.jpg"
"1775805247-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=24","Administrative 33 M² For sale in Sleek Mall-South Teseen st - New Cairo","6,078,000 EGP","– 184,181 EGP/m²","33 m²","New Cairo - 5th Settlement","Sleek Mall - Al Rabat","WhatsApp","Call","","","","/","","","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68d3cea739bec291394374.jpg"
