web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,position,position2,data5,title2,pricecurrency,title3,data6,data7,data8,data9,data10,position3,data11,image,image2,image3
"1775805260-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","للبيع شقة لقطة فى كمبوند سراى","Club Views - Sarai Compound","10,613,500 EGP","– 63,553 EGP/m²","167 m²","","","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","3","3","11","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d76d2c85c45296088022.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67a89866ea7c7881734652.jpg"
"1775805260-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","Apartment For sale in North Rehab","North Rehab","5,450,000 EGP","– 31,142 EGP/m²","175 m²","1.6M","","6","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","Down Payment","Up to","yrs","3","3","1","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d77da5f2988861650305.jpg","",""
"1775805260-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","السعر قابل للتفاوض","El Andalus 1","3,900,000 EGP","– 21,081 EGP/m²","185 m²","","","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","3","2","5","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699b15dd490f0161564253.jpg","",""
"1775805260-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","Spacious 3-Bedroom Apartment for Sale on North 90th Street, New Cairo","Fourth Neighborhood","5,000,000 EGP","– 28,571 EGP/m²","175 m²","4M","2","2","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","Down Payment","Up to","yrs","3","3","","/","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6994672738141063590958.jpg",""
"1775805260-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","سكني For sale in El Ashrafia Compound - Arabia","El Ashrafia Compound - Arabia","5,000,000 EGP","– 41,666 EGP/m²","120 m²","","25","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","2","1","","/","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6c78bd30e4667004305.jpg",""
"1775805260-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","(NO) Apartment For sale in Phase 8","Phase 8","6,500,000 EGP","– 65,656 EGP/m²","99 m²","","8","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","2","2","","/","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6b4a2a1960331050336.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2507/6875084b3fbff311885712.png"
"1775805260-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","سكني 196 M² For sale in New Lotus","New Lotus","7,300,000 EGP","– 37,244 EGP/m²","196 m²","","4","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","3","2","","/","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6cbf9919a8646726035.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2403/6602ea1ccec01740581737.jpeg"
"1775805260-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","Apartment 190 M² Extra super lux in El Andalus El Motamayez","El Andalus El Motamayez","5,100,000 EGP","– 26,842 EGP/m²","190 m²","","13","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","3","2","","/","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2510/68e159487b6cb282744585.jpeg",""
"1775805260-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","81sqm 1-Bedroom Apartment in District 5 - 4th Floor - 797K DP & 8 Years Installments","District 5 Compound - Marakez","11,393,000 EGP","– 140,654 EGP/m²","81 m²","","50","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","1","1","","/","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d669278600a027622256.jpg",""
"1775805260-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","For sale - Apartment 95 M² Semi Finished","Veloria Compound - Regency","3,700,000 EGP","– 38,947 EGP/m²","95 m²","370K","1","12","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","Down Payment","Up to","yrs","2","2","","/","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6b1ba4dfc7127724259.jpg",""
"1775805260-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","Apartment For sale in North House","North House","6,000,000 EGP","– 28,169 EGP/m²","213 m²","1.5M","1","5","New Cairo - 5th Settlement","WhatsApp","EGP","WhatsApp","Down Payment","Up to","yrs","3","3","","/","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d524894c16e545196693.jpg",""
"1775805260-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","5% Down Payment | 10-Year Installments | New Cairo – Jiwar Residence","Jiwar Residence Compound - Concrete","6,625,200 EGP","– 48,008 EGP/m²","138 m²","","5","","New Cairo - 5th Settlement","Call","","","","","","3","3","","/","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d67648a1158400048494.jpg",""
"1775805260-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=25","Villa 252 M² For sale in 97 Hills-Fifth Settelment - New Cairo","97 Hills Compound - Palm Hills","49,971,000 EGP","– 198,297 EGP/m²","252 m²","","3","","New Cairo - 5th Settlement","WhatsApp","","WhatsApp","","","","","","","/","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2511/6905494f0947c997681658.jpg",""
