web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,pricecurrency,data5,data6,data7,data8,data9,data10,data11,data12,position2,data13,image,image2,image3,image4,image5
"1775805286-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Fully Finished 136sqm Apt in District 5 - First Floor - 1.5M DP & 8 Years Installments","District 5 Compound - Marakez","19,965,000 EGP","– 146,801 EGP/m²","136 m²","","New Cairo - 5th Settlement","WhatsApp","Call","","Discover More","","","","","2","2","49","","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d666ad7c310934509984.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2009/5f561bd8667d0840140916.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2009/5f561bd81aeb2264257820.jpg","",""
"1775805286-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Semi furnished Apartment with garden for Sale in Lake View Residence New Cairo","Lake View Residence - El Hazek","12,000,000 EGP","– 93,750 EGP/m²","128 m²","","New Cairo - 5th Settlement","WhatsApp","Call","","Discover More","","","","","2","2","9","","/","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d66adbd4ae3539415769.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d66afe04f7b065976623.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d66b003154e695632913.jpg","","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
"1775805286-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Apartment For sale in American University Housing District","American University Housing District","7,350,000 EGP","– 31,012 EGP/m²","237 m²","","New Cairo - 5th Settlement","WhatsApp","Call","","Discover More","","","","","4","3","15","","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d66285c61a4872593990.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6627c7936c566542937.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6627ce96a7792476514.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805286-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","سكني 147 M² For sale in Fifth Neighborhood","Fifth Neighborhood","2,900,000 EGP","– 19,727 EGP/m²","147 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","EGP","","Down Payment","1.9M","Up to","yr","3","2","","1","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d66a7a2750d676501216.jpg",""
"1775805286-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","شقة نص تشطيب للبيع في كمبوند ياردين، التجمع الخامس – 106 متر","Yardin Compound - Mass","4,523,904 EGP","– 42,678 EGP/m²","106 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","EGP","","Down Payment","452.4K","Up to","yrs","2","2","","7","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d66aeb2c597137894523.jpg",""
"1775805286-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","شقة للبيع في كمبوند جنة مصر القاهرة الجديدة بجوار الجامعة الأمريكية","Jannat Misr Compound - New Urban Communities Authority","3,000,000 EGP","– 23,076 EGP/m²","130 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","3","2","","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65ec294309633460844.jpg",""
"1775805286-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Club Views Sarai Compound | 64 m one bedroom for sale","Club Views - Sarai Compound","5,066,428 EGP","– 79,162 EGP/m²","64 m²","1","New Cairo - 5th Settlement","WhatsApp","Call","EGP","","Down Payment","422.2K","Up to","yrs","1","1","","12","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69ccde2e54cf4849283382.png",""
"1775805286-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Townhouse for Sale 400 sqm First Settlement  Golden Heights 2 Compound  Luxury Finishing Ready to Move In","Golden Heights Compound 2 - Novus Stanza","34,000,000 EGP","– 85,000 EGP/m²","400 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","4","6","","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d2776b5fd1a355011480.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/2602/697f485a4b914465367313.jpg"
"1775805286-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Fully Finished 132sqm Ground Apt with 71sqm Garden in District 5 - 1.59M DP","District 5 Compound - Marakez","21,177,000 EGP","– 160,431 EGP/m²","132 m²","18","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","2","2","","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2102/60341bd738165761521590.jpg",""
"1775805286-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","شقة 2 نوم فيومميز للبيع في الباتيو اورو التجمع القاهرة الجديدة","El Patio Oro Compound - La Vista","8,500,000 EGP","– 66,406 EGP/m²","128 m²","6","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","2","2","","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d660b8081e1900582877.png","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
"1775805286-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","للبيع نص روف 157م + مساحه مفتوحه 58م بالحى الرابع بيت الوطن","Fourth Neighborhood","4,600,000 EGP","– 29,299 EGP/m²","157 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","3","2","","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65b4ad538d354480791.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805286-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","شقة للبيع في التجمع الثالث القاهرة الجديدة إسكان الشباب المحلية الثالثة","Third Neighborhood","1,650,000 EGP","– 23,571 EGP/m²","70 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","2","1","","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65f4ce6a87467335394.jpg",""
"1775805286-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","132sqm Ground Apt with 71sqm Garden in District 5 - 1.48M DP & 8 Years Installments","District 5 Compound - Marakez","19,668,000 EGP","– 149,000 EGP/m²","132 m²","49","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","2","2","","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6653138555528572108.jpg",""
"1775805286-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=27","Duplex with Garden 283m for sale in Bloomfields Mostakbal City","Bloomfields Compound - Tatweer Misr","11,000,000 EGP","– 38,869 EGP/m²","283 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","","","","","","","3","3","","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6555431b7e276591680.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
