web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,data5,title2,title3,data6,data7,data8,data9,image,image2,image3
"1775805304-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","بنتهاوس For sale in Gamal Abdel Nasser Axis","Gamal Abdel Nasser Axis","15,500,000 EGP","– 31,000 EGP/m²","500 m²","","New Cairo - 5th Settlement","WhatsApp","Call","5","48","/","3","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65017ed09f230103915.jpg","",""
"1775805304-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","للبيع شقة 150م ارضى بحديقه و مدخل خاص بمنطقه النرجس الجديده- ( التجمع الخامس )","New Narges","4,125,000 EGP","– 27,500 EGP/m²","150 m²","","New Cairo - 5th Settlement","WhatsApp","Call","3","1","/","2","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6633686503314871443.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805304-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","136 m² Garden Apartment for Sale in New Narges, Semi-Finished","New Narges","4,000,000 EGP","– 29,411 EGP/m²","136 m²","","New Cairo - 5th Settlement","WhatsApp","Call","3","30","/","2","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d64b3168285684427538.jpg","",""
"1775805304-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","سكني 130 M² For sale in Dar Misr El Andalous","Dar Misr El Andalous","3,200,000 EGP","– 24,615 EGP/m²","130 m²","42","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d634ba3ffda966753426.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/2405/66571dd7cfa7b127190229.png"
"1775805304-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","سكني For sale in El Shaikh Hassan Mamoun St.","El Shaikh Hassan Mamoun St.","11,000,000 EGP","– 50,000 EGP/m²","220 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6480e7f7c3939345606.jpg",""
"1775805304-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Apartment 165 M² Super lux in New Narges","New Narges","6,000,000 EGP","– 36,363 EGP/m²","165 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d646cc14553534194384.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805304-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Apartment for sale in Al Rehab, 131 meters, in Al Rehab 2, garden view","Phase 9","7,700,000 EGP","– 58,778 EGP/m²","131 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d627e30b631617048243.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805304-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Apartment 166 M² For sale in New Narges","New Narges","6,255,000 EGP","– 37,680 EGP/m²","166 m²","1","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","3","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65ab0c4c88847629336.jpg",""
"1775805304-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Apartment in El Andalus El Motamayez 151 M² Semi Finished For sale","El Andalus El Motamayez","3,900,000 EGP","– 25,827 EGP/m²","151 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65dd9551e1351767450.jpg",""
"1775805304-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","شقة بحديقة For sale in Sixth Neighborhood","Sixth Neighborhood","6,225,000 EGP","– 24,800 EGP/m²","251 m²","6","New Cairo - 5th Settlement","WhatsApp","Call","4","","/","3","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6577682e35756921428.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
