web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,data5,data6,title2,data7,title3,data8,position,data9,image,image2,image3,image4
"1775804891-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","شقة للبيع بمدينة الرحاب المرحلة السابعة (YA)","Phase 7","9,500,000 EGP","– 52,777 EGP/m²","180 m²","3","","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","2","7","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d37d344abf1620271103.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d37d3bc1650900945188.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2507/6875084b3fbff311885712.png"
"1775804891-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","Apartment For sale in Mohamed Hashem Fouad St.","Mohamed Hashem Fouad St.","7,250,000 EGP","– 30,208 EGP/m²","240 m²","3","","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","2","16","/","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c52d006279c554368212.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c52cfee10b0866093353.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804891-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","امتلك شقه155م بأرقي مكان في التجمع الخامس شمال الرحاب كودL5001","North Rehab","4,695,000 EGP","– 30,290 EGP/m²","155 m²","3","","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","3","2","/","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cba0215a39b799412540.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cba00a02d66183323878.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775804891-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","15-year installments for your luxury villa next to the American University in Modon Golf Town compound","Golf Town Compound - Modon","13,900,000 EGP","– 50,180 EGP/m²","277 m²","4","31","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","4","","/","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/695e499d5285d713590249.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
"1775804891-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","بقينا في 2026 ولسه فاكر إن الصيف لازم سفر؟ فيلا للبيع","Rai - Sarai Compound","24,786,987 EGP","– 88,524 EGP/m²","280 m²","5","8","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","5","","/","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c2371933fb563735564.jpg",""
"1775804891-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","Duplex with Garden for Sale in South Academy (H), New Cairo","Mohamed Hussein Mahmoud St.","10,500,000 EGP","– 29,166 EGP/m²","360 m²","4","4","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","3","","/","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/69778129ceee0355457490.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2604/69d3b4bb6994e690753550.png"
"1775804891-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","شقة بحديقة in Elan - Sarai Compound 132 M² Semi Finished For sale","Elan - Sarai Compound","4,500,000 EGP","– 34,090 EGP/m²","132 m²","3","6","New Cairo - 5th Settlement","Call","Verified","","2","","/","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699447e7b7594749211329.jpg",""
"1775804891-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","قصر 1650 M² Extra super lux in Ganaty Compound - El Nasr Housing","Ganaty Compound - El Nasr Housing","92,000,000 EGP","– 55,757 EGP/m²","1650 m²","11","22","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","8","","/","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69cdfd524da68377532081.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/2405/66571dd7cfa7b127190229.png"
"1775804891-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","apartment for sale 248m ready to move new cairo gharb arabella","Selim St.","5,800,000 EGP","– 23,387 EGP/m²","248 m²","4","10","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","4","","/","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6987472007154439534011.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804891-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","متاح تمليك بالرحاب تكملة اقساط (AS)","Phase 7","7,100,000 EGP","– 43,827 EGP/m²","162 m²","3","5","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","3","","/","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d3820d8b225811573941.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2507/6875084b3fbff311885712.png"
"1775804891-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","Apartment  For sale in Madinaty - B 11","Madinaty - B 11","6,800,000 EGP","– 58,620 EGP/m²","116 m²","3","14","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","2","","/","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ca428e5bf8c801846584.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804891-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=4","Apartment in El Andalus 1 164 M² Semi Finished For sale","El Andalus 1","4,200,000 EGP","– 25,609 EGP/m²","164 m²","3","2","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","2","","/","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69ce92e817ae7406519451.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
