web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,data8,data9,position2,image,image2,image3,image4,image5
"1775804922-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","امتلك شقه159م فيواجاردن نص تشطيب في النرجس الجديده التجمع الخامس كودL5000","New Narges","4,800,000 EGP","– 30,188 EGP/m²","159 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","3","/","3","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cb9f16114fc924991116.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cb9f0e59cf6764986185.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cb9f0e636e3437862337.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775804922-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","شقه للبيع في الياسمين بسعر مميز","Ja’far ibn Abi Talib St.","6,000,000 EGP","– 30,000 EGP/m²","200 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","3","/","4","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cbcf431a1d6078180099.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cbcf4b42d48850121886.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69cbcf4b49f35044605156.jpg","",""
"1775804922-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","شقق للبيع في محور محمد نجيب","Abo El Hawl 3","6,000,000 EGP","– 27,272 EGP/m²","220 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","2","/","4","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/695a457840aa6543204382.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/695a45781838f178392000.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/695a457817406543159041.jpg","",""
"1775804922-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","roof for sale 106m ready new cairo 5th settlement new cairo","New Narges","3,065,000 EGP","– 28,915 EGP/m²","106 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","2","/","","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698dafe5d7901466985307.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804922-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","for sale standalone villa 580sqm in aswar residence","Aswar Residence -  United Real Estate Company","39,000,000 EGP","– 67,241 EGP/m²","580 m²","14","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","7","8","/","","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c410128c69746479976.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804922-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","شقة مفروشة  ""ألترا سوبر لوكس"" بفيو مجرى السيل - مدينتي (B2)","Madinaty - B 2","13,500,000 EGP","– 67,500 EGP/m²","200 m²","19","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","/","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ca4a343e92d762416143.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804922-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","فيلا مستقلة متشطبة بالكامل (لوكيشن كورنر مميز) كمبوند ميفيدا اعمار","Mivida Parcel","57,000,000 EGP","– 126,385 EGP/m²","451 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","5","/","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ca90d58723b709804697.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2601/696f933e8a933464933331.jpg"
"1775804922-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","شقه للبيع استلام فوري بسعر متر لقطه 14,000الف بيت الوطن الحي الاول","First Neighborhood","3,640,000 EGP","– 14,000 EGP/m²","260 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","/","","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6938377a6624a282145695.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804922-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","امتلك شقه250م فيواجاردن سوبرلوكس في البنفسج12 فيلات التجمع الخامس كودL4993","El Banafsag 12","8,500,000 EGP","– 34,000 EGP/m²","250 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","3","/","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ca58254a858914663450.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775804922-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","مصنع للبيع في المنطقة الصناعية","Industrial Zone","21,000,000 EGP","– 70,000 EGP/m²","300 m²","1","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","","/","","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/695a400a48027557386275.jpg",""
"1775804922-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","Distinctive 174 m Apartment for Sale in South Lotus – Close to South 90th Street","Lotus South","5,100,000 EGP","– 29,310 EGP/m²","174 m²","14","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","/","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6967a329a079a810093502.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804922-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","Best opportunity to own a villa at the best market price in Hyde Park New Cairo","Cluster 6 - Hyde Park Compound","31,000,000 EGP","– 83,783 EGP/m²","370 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","6","5","/","","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699acb593c078930385225.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804922-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=5","مبنى For sale in First Neighborhood","First Neighborhood","33,000,000 EGP","– 188,571 EGP/m²","175 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","","/","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ca8e49c7b2a260380242.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
