web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,data8,position2,data9,image,image2,image3,image4,image5
"1775804943-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Apartment for sale 160m 3BR best layout club view in Taj City compound, installments over 12 years - CE","Origami Gardens - Taj City Compound","7,331,000 EGP","– 45,818 EGP/m²","160 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","2","12","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696ce3a5dc266292811531.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696ce3a5a84b5525136759.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696ce3a5c9313791616535.jpg","",""
"1775804943-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","For sale - دوبلكس 450 M² Extra super lux in Omar Ibn Abd El-Aziz St.","Omar Ibn Abd El-Aziz St.","15,000,000 EGP","– 33,333 EGP/m²","450 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","4","3","96","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b71b7717621806848815.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b71ba217067132914416.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b71b9b30bc6636159905.jpg","","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/2405/66571dd7cfa7b127190229.png"
"1775804943-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Apartment 210 M² For sale in Street 1","Street 1","7,000,000 EGP","– 33,333 EGP/m²","210 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","3","20","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b162dcc4311729578662.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b162dcdc798915604349.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b162dcba412390004252.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804943-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Apartment  For sale in Abdullah Mosalamy St.","Abdullah Mosalamy St.","7,300,000 EGP","– 33,181 EGP/m²","220 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","4","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c543284229b913432293.png","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804943-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","سكني For sale in First Neighborhood","First Neighborhood","4,070,400 EGP","– 19,200 EGP/m²","212 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69bc0cde74748918276122.jpg",""
"1775804943-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","تاون هاوس in Green Square Compound - Al Ahly Sabbour 268 M² Extra super lux For sale","Green Square Compound - Al Ahly Sabbour","13,750,000 EGP","– 51,305 EGP/m²","268 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","4","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b94957326a6297168966.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804943-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Studio for sale in installments in Taj City Compound, First Settlement – ​​the lowest price in the market! - CY","Origami Gardens - Taj City Compound","3,000,000 EGP","– 51,724 EGP/m²","58 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","1","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696cc4d84eb08740683098.jpg",""
"1775804943-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","سكني For sale in Amr Ibn El Ass St.","Amr Ibn El Ass St.","7,000,000 EGP","– 41,176 EGP/m²","170 m²","112","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","1","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b71c3dbf445696146645.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/2405/66571dd7cfa7b127190229.png"
"1775804943-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Apartment 121 M² Super lux in Amr Ibn El-Aas St.","Amr Ibn El-Aas St.","5,600,000 EGP","– 46,280 EGP/m²","121 m²","18","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b5792432c38048861190.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804943-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Apartment in Mohammad Othman St. 200 M² Semi Finished For sale","Mohammad Othman St.","4,300,000 EGP","– 21,500 EGP/m²","200 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2504/67f3d84b35558229495913.jpeg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804943-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","Apartment in Fifth Square Compound - AlMarasem 143 M² Super lux For sale","Fifth Square Compound - AlMarasem","10,000,000 EGP","– 69,930 EGP/m²","143 m²","13","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba59400818c948681936.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804943-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","For sale Townhouse villa 183m corner unit, in Sarai Elm Tree Park compound with installments of 37k over 10 years- CE","Club Views - Sarai Compound","6,710,000 EGP","– 36,666 EGP/m²","183 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696f8e34986f0580870606.jpg",""
"1775804943-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","قصر Super lux For sale in Arabella Compound","Arabella Compound","187,000,000 EGP","– 207,777 EGP/m²","900 m²","15","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","5","5","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b55dbbe6852597073175.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804943-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","دوبلكس فاخر للبيع بحديقة واسعة - شرق الأكاديمية (المنطقة الرابعة)","El Tahrir St.","14,000,000 EGP","– 37,234 EGP/m²","376 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","3","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2309/6505e43074aa4090385066.jpeg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804943-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","شقة بحديقة 125 M² Super lux in Fifth Square Compound - AlMarasem","Fifth Square Compound - AlMarasem","9,000,000 EGP","– 72,000 EGP/m²","125 m²","13","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","2","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba56ce0c29e773765975.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804943-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","For sale - Apartment 185 M² Semi Finished","Garden Heights Compound","6,500,000 EGP","– 35,135 EGP/m²","185 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b7ed3be0570227049796.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804943-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","روف للبيع في المنطقة الثانية - اللوتس الشمالية","The Second Area - Lotus North","9,000,000 EGP","– 12,000 EGP/m²","750 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","3","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/69527272d5ca4430784272.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2203/6220c63f4f409651798245.jpg"
"1775804943-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","فرصة مميزة لعشاق الحدائق والمساحات المفتوحة شقة بحديقة للبيع","Fifth Square Compound - AlMarasem","9,500,000 EGP","– 68,840 EGP/m²","138 m²","13","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba53829a849569737081.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804943-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","تاون هاوس Super lux For sale in Avenues Residence - Mivida Compound","Avenues Residence - Mivida Compound","26,500,000 EGP","– 165,625 EGP/m²","160 m²","21","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","3","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b9409166bb1424056795.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804943-20","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=6","For sale - Apartment 160 M² Super lux","Fifth Square Compound - AlMarasem","10,600,000 EGP","– 66,250 EGP/m²","160 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba5f626fc3a966201199.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
