web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,data5,data6,data7,title2,data8,title3,data9,position,image,image2,image3,image4
"1775805001-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","Apartment For sale in Jazura Compound - Samco","Jazura Compound - Samco","5,000,000 EGP","– 40,000 EGP/m²","125 m²","","2","2","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","4","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68c260439dfb1761832035.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2509/68c12d1059b77125161205.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2508/68a332d473365911578651.jpeg"
"1775805001-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","shop for sale 29m first floor new cairo 5th settlement el andalus","El Andalus 1","5,220,000 EGP","– 180,000 EGP/m²","29 m²","","","","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","2","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699ad3f301477526481652.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699ad3f30aa34532924461.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775805001-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","محلات للبيع في اوبن اير مول","Open Air Mall","65,000,000 EGP","– 650,000 EGP/m²","100 m²","","","","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","6","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6991bc2ed859d667049435.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6991bc2ef0109192132659.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805001-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","قسط 15 سنة فيلتك الفاخرة بجوار الجامعة الامريكية في كمبوند Modon Golf Town","Golf Town Compound - Modon","13,900,000 EGP","– 50,180 EGP/m²","277 m²","31","4","4","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696385db749b9712970425.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
"1775805001-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","Studio for Sale in Taj City Pool View","Taj Sultan - Taj City Compound","3,500,000 EGP","– 56,451 EGP/m²","62 m²","10","1","1","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69af20a28a272805726606.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2302/63fb3d4fbba0d256176230.jpeg"
"1775805001-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","محل للبيع في طريق مدينتي","Madinaty Road","28,000,000 EGP","– 280,000 EGP/m²","100 m²","5","","","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699c1f3ccea50857983906.jpg",""
"1775805001-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","ستوديو 80 M² Semi Finished in Elan - Sarai Compound","Elan - Sarai Compound","5,000,000 EGP","– 62,500 EGP/m²","80 m²","6","1","1","New Cairo - 5th Settlement","Call","Verified","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c2780a587da623462216.jpg",""
"1775805001-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","قصر For sale in Alaa Elsaadany St.","Alaa Elsaadany St.","92,000,000 EGP","– 95,435 EGP/m²","964 m²","10","16","14","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c7f835bc95c682375505.jpg",""
"1775805001-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","apartment for sale 228m second floor new cairo 5th settlement beit al watan","Third Neighborhood","5,850,000 EGP","– 25,657 EGP/m²","228 m²","4","3","3","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69aea30496aaa382537834.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775805001-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=9","Apartment For sale in Lotus South","Lotus South","4,950,000 EGP","– 34,859 EGP/m²","142 m²","5","3","2","New Cairo - 5th Settlement","WhatsApp","Verified","WhatsApp","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b165451f5b5597959441.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
