web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,data8,data9,data10,image,image2,image3,image4,image5
"1775805014-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","Installments up to 15 years and own a great apartment in New Cairo behind Hyde Park - Modon Golf Compound","Golf Town Compound - Modon","5,700,000 EGP","– 49,565 EGP/m²","115 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","2","1","31","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/696386880f33c683734628.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6963866ff2eaa415656139.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/69638679a0411591621053.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
"1775805014-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","فيلا For sale in Boulevard Residence Mivida","Boulevard Residence Mivida","68,000,000 EGP","– 191,011 EGP/m²","356 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","5","5","10","/","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b41deec5bff548889443.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b41de158bdc784064552.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b41dfd75a97532739769.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2302/63fb3d4fbba0d256176230.jpeg"
"1775805014-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","For sale - Apartment 220 M² Extra super lux in PILOT HALAWANY St.","PILOT HALAWANY St.","8,500,000 EGP","– 38,636 EGP/m²","220 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","2","15","/","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c3b47c2694d986513333.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c3b47ae3dad553727591.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69c3b47ad0dbc285015347.jpg","",""
"1775805014-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","Apartment Semi Finished For sale in Azad Compound - Tameer","Azad Compound - Tameer","18,000,000 EGP","– 128,571 EGP/m²","140 m²","14","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","3","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6947dcdd3806d445230196.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67a89866ea7c7881734652.jpg"
"1775805014-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","Penthouse Resale Ready To Move Fully Finished & AC's Open View Roof","Fifth Square Compound - AlMarasem","12,000,000 EGP","– 71,856 EGP/m²","167 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b2b6adb8236845926495.jpg",""
"1775805014-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","Your fully finished apartment, ready for occupancy within a year, with a 10-year payment plan in New Cairo.","Mayan Compound - STM","8,514,000 EGP","– 86,000 EGP/m²","99 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","1","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6991cd7c914a2371301364.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
"1775805014-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","For sale - تاون هاوس 357 M² Semi Finished in The Phoenix - Swan Lake Residence","The Phoenix - Swan Lake Residence","45,000,000 EGP","– 126,050 EGP/m²","357 m²","14","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b7e4aa19287976486058.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2302/63fb3d4fbba0d256176230.jpeg"
"1775805014-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","For sale - Apartment 200 M² Super lux","Sedki Suliman St.","8,500,000 EGP","– 42,500 EGP/m²","200 m²","6","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b1328d1d3b1139293461.jpg",""
"1775805014-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","Apartment Semi Finished For sale in Beta Greens Compound - Beta Egypt","Beta Greens Compound - Beta Egypt","5,400,000 EGP","– 35,761 EGP/m²","151 m²","15","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6944131f3e1de270996722.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67a89866ea7c7881734652.jpg"
"1775805014-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=10","Pay in installments up to 15 years and own a luxury studio in a strategic location in Modon Golf Town, New Cairo.","Golf Town Compound - Modon","2,800,000 EGP","– 53,846 EGP/m²","52 m²","33","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","1","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/695e5062c2bbb260864136.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
