web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,position,data5,title2,title3,data6,data7,data8,position2,data9,image,image2,image3,image4,image5
"1775804733-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","سكني For sale in El Gezira St.","El Gezira St.","5,200,000 EGP","– 23,636 EGP/m²","220 m²","3","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","2","6","/","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d8061fc1008549913251.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d80620623f6880657043.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d806209bf71372587309.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2602/69850ff45001f580356024.jpg"
"1775804733-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","","Ozone Medical Center - Catalyst","4,560,000 EGP","– 120,000 EGP/m²","38 m²","1","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","1","5","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7e9d58f6c5829423811.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7e9d663b96642833260.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7e9d6d92c5529314481.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2508/68a332d473365911578651.jpeg"
"1775804733-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","Apartment  For sale in Abo Zarr El Ghifari St.","Abo Zarr El Ghifari St.","8,500,000 EGP","– 38,636 EGP/m²","220 m²","3","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","3","27","/","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7df4964735786487093.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7df493ba9a265442882.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7df49e7268410963716.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804733-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","امتلك دوبلكس  255م بالحى الرابع بيت الوطن تعاقد 25% من المالك مباشرا","Fourth Neighborhood","5,900,000 EGP","– 23,137 EGP/m²","255 m²","3","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d4ceb370d59951684520.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775804733-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","شقة بحديقة للبيع في كلوب بارك - كمبوند ماونتن فيو أي سيتي","Club Park - Mountain View iCity Compound","4,900,000 EGP","– 26,923 EGP/m²","182 m²","3","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ab4ee963f4d679962871.jpg",""
"1775804733-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","Studio for sale in The Red Residence, fully finished with Acs","The Red Residence Compound - Al Borouj Misr","6,020,000 EGP","– 130,869 EGP/m²","46 m²","1","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/697f69c5f2804113807792.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2302/63fb3d4fbba0d256176230.jpeg"
"1775804733-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","Own your apartment with 0% down payment in the heart of New Cairo, right next to Hyde Park, in Wujod Reside.","Wujood Compound - Tharaa","2,400,000 EGP","– 40,000 EGP/m²","60 m²","2","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698de76437402943143689.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2502/67adddd986131006565457.jpg"
"1775804733-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","receive now apartment in Sarai compound with open view over installments","Esse Residence - Sarai","5,580,000 EGP","– 31,173 EGP/m²","179 m²","3","12","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b1be8d19f11365936161.jpg",""
"1775804733-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","shop for sale 54m ready clove mall new cairo 1st settlement el koronfel","El Kornfol 1","7,560,000 EGP","– 140,000 EGP/m²","54 m²","1","15","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698b288222d2b448881673.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804733-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/","duplex for sale in trio new cairo 245","Trio Gardens Compound - M Squared","13,000,000 EGP","– 53,061 EGP/m²","245 m²","3","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","4","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/694ab11d88329040379723.jpg",""
