Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"2,163,000 EGP",120,2,3 bathroom,3,2025,Developer,Main Street,Installments,Second Neighborhood,Basic,2163000,18025
"3,250,000 EGP",162,3,2 bathroom,6,2024,Developer,Main Street,Cash or Installments,Jasmine Gardens Compound,Garden,3250000,20061.73
"2,650,000 EGP",122,3,1 bathroom,4,2024,Developer,Main Street,Cash or Installments,Sudan St,Finished,2650000,21721.31
"12,720,000 EGP",212,4,3 bathroom,13,2027,Broker,Club,Cash or Installments,Muruj,Super Lux,12720000,60000
"5,898,000 EGP",135,2,1 bathroom,6,2025,Developer,Lake,Cash or Installments,Unknown,Installment,5898000,43688.89
"1,560,000 EGP",140,3,1 bathroom,9,2014,Broker,Side Street,Cash,Unknown,تشطيب,1560000,11142.86
"6,329,000 EGP",145,3,3 bathroom,2,2027,Broker,Other,Installments,Bluetree New Cairo,Finished,6329000,43648.28
"3,500,000 EGP",262,4,3 bathroom,,,EG-6587379,Garden,Cash,Unknown,Basic,3500000,13358.78
"4,209,000 EGP",133,2,2 bathroom,3,2025,Broker,Lake,Cash or Installments,العلمين استلام فورى,"فيو, تقسيط",4209000,31646.62
"2,600,000 EGP",145,3,2 bathroom,2,2025,Broker,Side Street,Cash,Unknown,لوكس,2600000,17931.03
"631,250 EGP",125,3,2 bathroom,4,2019,Developer,Main Street,Cash or Installments,El Bustan Neighborhood,Basic,631250,5050
"1,255,900 EGP",185,3,3 bathroom,3,2024,Broker,Side Street,Cash or Installments,شارع الامراء,Basic,1255900,6788.65
"1,255,000 EGP",154,3,3 bathroom,4,2025,Broker,Side Street,Cash or Installments,شارع الامراء,Basic,1255000,8149.35
"5,166,000 EGP",228,3,3 bathroom,2,2027,Broker,Main Street,Installments,Unknown,Basic,5166000,22657.89
"4,680,000 EGP",160,3,3 bathroom,2,2026,Broker,Main Street,Cash or Installments,مناطق فرعية بشمال,Basic,4680000,29250
"3,447,000 EGP",157,3,2 bathroom,3,2026,Broker,Other,Installments,Unknown,Basic,3447000,21955.41
"6,521,311 EGP",127,1,1 bathroom,,2026,Broker,Garden,Cash or Installments,Long Beach –,Basic,6521311,51348.91
"3,660,000 EGP",130,3,2 bathroom,,2027,Broker,Main Street,Installments,Unknown,Basic,3660000,28153.85
